State,Incident,Population,Latitude,Longitude
Alaska,7,731545,66.160507,-153.369141
Arizona,143,7278717,34.048927,-111.093735
Arkansas,8,3017804,34.799999,-92.199997
California,524,39512223,36.778259,-119.417931
Colorado,117,5758736,39.113014,-105.358887
Connecticut,48,3565287,41.599998,-72.699997
Delaware,10,973764,39,-75.5
Florida,48,21477737,27.994402,-81.760254
Georgia,76,10617423,33.247875,-83.441162
Hawaii,30,1415872,19.741755,-155.844437
Idaho,18,1787065,44.068203,-114.742043
Illinois,34,12671821,40,-89
Indiana,47,6732219,40.273502,-86.126976
Iowa,6,3155070,42.032974,-93.581543
Kansas,36,2913314,38.5,-98
Kentucky,114,4467673,37.839333,-84.27002
Louisiana,9,4648794,30.39183,-92.329102
Maine,10,1344212,45.367584,-68.972168
Maryland,7,6045680,39.045753,-76.641273
Massachusetts,213,6892503,42.407211,-71.382439
Michigan,313,9986857,44.182205,-84.506836
Minnesota,59,5639632,46.39241,-94.63623
Mississippi,6,2976149,33,-90
Missouri,52,6137428,38.573936,-92.60376
Montana,16,1068778,46.96526,-109.533691
Nebraska,38,1934408,41.5,-100
Nevada,27,3080156,39.876019,-117.224121
New Hampshire,8,1359711,44,-71.5
New Mexico,30,8882190,34.307144,-106.018066
New York,164,2096829,43,-75
North Carolina,132,19453561,35.782169,-80.793457
North Dakota,14,10488084,47.650589,-100.437012
Ohio,216,762062,40.367474,-82.996216
Oklahoma,14,11689100,36.084621,-96.921387
Oregon,116,3956971,44,-120.5
Pennsylvania,28,4217737,41.203323,-77.194527
Rhode Island,4,12801989,41.742325,-71.742332
South Carolina,36,1059361,33.836082,-81.163727
South Dakota,13,5148714,44.5,-100
Tennessee,91,884659,35.860119,-86.660156
Texas,300,6829174,31,-100
Utah,12,28995881,39.41922,-111.950684
Vermont,18,3205958,44,-72.699997
Virginia,102,623989,37.926868,-78.024902
Washington,331,8535519,47.751076,-120.740135
West Virginia,18,7614893,39,-80.5
Wisconsin,39,1792147,44.5,-89.5
Wyoming,4,5822434,43.07597,-107.290283